"Order history","Order history"
"Checkout","Checkout"
"Date","Date"
"Status","Status"
"Comment","Comment"
"Actions","Actions"
"Payment for this order have been received","Payment for this order have been received"
"If you have not paid yet and you wish to make a payment","If you have not paid yet and you wish to make a payment"
"click here","click here"
"MisterTango payment ""%s"".","MisterTango payment ""%s\""."
